Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","1042P","BATTERY HOLDER 18650 SMD TAB","BT1","CMP-19636-000019-1","New From Design","Up to date","Keystone Electronics","1042P","Volume Production","Mouser","534-1042P","4.23","4.23"
"","CC0603KRX7R5BB104","Capacitor Ceramic 0.1uF 6.3V X7R 10% 0603 Paper T/R","C1","CMP-03422-001463-1","New From Design","Up to date","Yageo","CC0603KRX7R5BB104","Unknown","Mouser","603-CC0603X7R5BB104","0.1","0.1"
"","C0805C225K9PACTU","","C2","CMP-1036-04819-2","Released","Up to date","KEMET","C0805C225K9PACTU","Volume Production","Digikey","399-C0805C225K9PACTUCT-ND","0.32","0.64"
"","CC0603KRX7R9BB102","CAP CER 1000PF 50V X7R 0603","C3","CMP-2100-03599-2","New From Design","Up to date","Yageo","CC0603KRX7R9BB102","Volume Production","Mouser","603-CC603KRX7R9BB102","0.1","0.1"
"","CC0603KRX5R5BB106","CAP CER 10UF 6.3V X5R 0603","C4","CMP-03422-001506-1","New From Design","Up to date","Yageo","CC0603KRX5R5BB106","Volume Production","Arrow Electronics","CC0603KRX5R5BB106","0.1113","0.1113"
"","C0603C104K9RACTU","","C5","CMP-1035-02576-2","Released","Up to date","KEMET","C0603C104K9RACTU","Volume Production","Arrow Electronics","C0603C104K9RACTU","0.0024","0.0024"
"","C0805C225K9PACTU","","C6","CMP-1036-04819-2","Released","Up to date","KEMET","C0805C225K9PACTU","Volume Production","Digikey","399-C0805C225K9PACTUCT-ND","0.32","0.64"
"","CL21X106KQQNNNE","CL21 Series 0805 10uF 6.3V ±10% Tolerance X6S Multilayer Ceramic Chip Capacitor","C7","CMP-13271-000175-1","New From Design","Up to date","Samsung","CL21B106KQQNNNG","Volume Production","Arrow Electronics","CL21B106KQQNNNG","0.0256","0.0256"
"","CC0805KRX7R5BB104","CAP CER X7R 0805","C8","CMP-03422-000810-2","New From Design","Up to date","Yageo","CC0805KRX7R5BB104","Unknown","Digikey","13-CC0805KRX7R5BB104CT-ND","0.12","0.12"
"","C0603C471K8RACTU","CAP CER 470PF 10V X7R 0603","C9","CMP-03020-003327-1","New From Design","Up to date","KEMET","C0603C471K8RACTU","Volume Production","Mouser","80-C0603C471K8R","0.27","0.27"
"","CL21A106KQFNNNE","CL21 Series 0805 10uF 6.3V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor","C10","CMP-13271-001826-1","New From Design","Up to date","Samsung","CL21A106KQFNNNE","Volume Production","Digikey","1276-1122-1-ND","0.1","0.1"
"","USBLC6-4SC6","TVS DIODE 5.25V 17V SOT23-6","D1","CMP-2000-07370-2","New From Design","Up to date","STMicroelectronics","USBLC6-4SC6","Volume Production","Newark","26M4749","0.325","0.325"
"","SS14","DIODE SCHOTTKY 40V 1A SMA","D2","CMP-2000-04943-2","New From Design","Up to date","ON Semiconductor / Fairchild","SS14","Not Recommended for New Design","Newark","58K9550","0.082","0.082"
"","ESP-12S","RX TXRX MOD WIFI PCB TRACE SMD","IC1","CMP-204316-000002-1","New From Design","Up to date","RF Solutions","ESP-12S","Volume Production","Mouser","223-ESP-12S","9.56","9.56"
"","CP2102-GM","Single-Chip USB to UART Bridge, 1024 Bytes EEPROM, -40 to 85 degC, 28-pin QFN, Tube","IC2","CMP-0511-00012-1","Released","Up to date","Silicon Labs","CP2102-GM","Not Recommended for New Design","Newark","30K5635","6.14","6.14"
"","629105136821","","J1","CMP-1502-03253-2","Released","Up to date","Wurth Electronics","629105136821","Volume Production","Digikey","732-3155-1-ND","1.29","1.29"
"","B3B-PH-K-S(LF)(SN)","Male Header, Pitch 2 mm, 1 x 3 Position, Height 6 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk","J2","CMP-2000-05164-1","Released","Up to date","JST","B3B-PH-K-S(LF)(SN)","Volume Production","Mouser","306-B3BPHKSLFSNP","0.16","0.16"
"","LS R976-NR-1","LED RED DIFFUSED 0805 SMD","LED1","CMP-62016-000037-1","New From Design","Up to date","Osram Opto","LSR976-NR-1","Volume Production","Mouser","720-LSR976-NR-1","0.15","0.3"
"","LS R976-NR-1","LED RED DIFFUSED 0805 SMD","LED2","CMP-62016-000037-1","New From Design","Up to date","Osram Opto","LSR976-NR-1","Volume Production","Mouser","720-LSR976-NR-1","0.15","0.3"
"","SI2301BDS-T1-GE3","SI2301BDS-T1-GE3 Trans Mosfet P-ch Si 20V 2.2A 3-PIN SOT-23 T/r / Mosfet P-ch 20V 2.2A SOT23-3","Q3","CMP-00030-42864886-1","New From Design","Up to date","Vishay Siliconix","SI2301BDS-T1-GE3","Volume Production","Arrow Electronics","SI2301BDS-T1-GE3","0.148","0.148"
"","ERJ-6GEYJ123V","","R1","CMP-2001-00347-1","Released","Up to date","Panasonic","ERJ-6GEYJ123V","Volume Production","Digikey","P12KACT-ND","0.041","0.41"
"","ERJ-6GEYJ123V","","R2","CMP-2001-00347-1","Released","Up to date","Panasonic","ERJ-6GEYJ123V","Volume Production","Digikey","P12KACT-ND","0.041","0.41"
